Agent Name,Agent_ID,Agent Extension,Report Period,Calls Presented,Calls Handled,Calls Abandoned,Total Logged In Time,Average Logged In Time,Not Ready Time,Not Ready Time (%),Ready Time,Ready Time (%),Reserved Time,Reserved Time (%),Talk Time,Talk Time (%),Work Time,Work Time (%),Avg Handle Time,Max Handle Time,Avg Talk Time,Max Talk Time,Avg Hold Time,Max Hold Time,Avg Work Time,Max Work Time,Avg Idle Time,Max Idle Time,Handle Ratio,Total Inbound,Inbound ACD-Total,Inbound ACD-Avg Talk Time,Inbound ACD-Avg Hold Time,Inbound ACD-Avg Work Time,Inbound Non-ACD On IPCC-Total,Inbound Non-ACD On IPCC-Avg Talk Time,Inbound Non-ACD On IPCC-Max Talk Time,Inbound Non-ACD On Non-IPCC-Total,Inbound Non-ACD On Non-IPCC-Avg Talk Time,Inbound Non-ACD On Non-IPCC-Max Talk Time,Outbound On IPCC-Total,Outbound On IPCC-Avg Call Time,Outbound On IPCC-Max Call Time,Outbound On Non-IPCC-Total,Outbound On Non-IPCC-Avg Call Time,Outbound On Non-IPCC-Max Call Time,ACD-Transfer In,Non-ACD-Transfer In,ACD-Transfer Out,Non-ACD-Transfer Out,ACD-Conference,Non-ACD-Conference
Vuyo Gqola,A1022,2022,April 2026,279,270,9,185:14:20,08:25:12,19:45:59,10.67,153:44:36,83.0,00:43:18,0.39,08:23:39,4.53,02:36:47,1.41,00:02:33,00:05:30,00:01:52,00:03:56,00:00:06,00:00:17,00:00:35,00:01:23,00:23:21,01:13:57,0.9677,279,279,00:01:52,00:00:06,00:00:35,0,00:00:00,00:00:00,0,00:00:00,00:00:00,5,00:05:53,00:09:31,0,00:00:00,00:00:00,4,1,1,1,2,1
Nomsa Ngcobo,A1023,2023,April 2026,198,192,6,185:09:22,08:24:58,13:24:30,7.24,158:13:53,85.46,00:23:23,0.21,10:26:09,5.64,02:41:27,1.45,00:04:26,00:10:39,00:03:16,00:05:03,00:00:20,00:00:47,00:00:50,00:01:24,00:14:02,00:33:55,0.9697,200,198,00:03:16,00:00:20,00:00:50,2,00:02:35,00:04:29,0,00:00:00,00:00:00,12,00:06:11,00:13:21,0,00:00:00,00:00:00,2,1,0,0,0,0
Buhle Gqola,A1024,2024,April 2026,216,207,9,195:27:49,08:29:54,27:54:25,14.28,156:05:47,79.86,00:22:14,0.19,07:53:37,4.04,03:11:46,1.64,00:03:30,00:06:04,00:02:17,00:04:20,00:00:17,00:00:34,00:00:56,00:02:21,00:33:03,01:38:21,0.9583,217,216,00:02:17,00:00:17,00:00:56,1,00:01:55,00:02:56,0,00:00:00,00:00:00,14,00:04:08,00:09:21,0,00:00:00,00:00:00,4,0,4,0,3,0
Zoleka Mbeki,A1025,2025,April 2026,156,153,3,195:36:19,08:53:28,29:00:27,14.83,160:36:06,82.11,00:18:49,0.16,04:14:19,2.17,01:26:38,0.74,00:02:25,00:06:14,00:01:40,00:02:51,00:00:11,00:00:23,00:00:34,00:00:58,00:31:40,01:35:12,0.9808,159,156,00:01:40,00:00:11,00:00:34,3,00:01:05,00:01:30,0,00:00:00,00:00:00,18,00:05:17,00:11:18,0,00:00:00,00:00:00,5,0,6,1,2,1
Vuyo Mbeki,A1026,2026,April 2026,238,231,7,193:37:03,08:48:03,16:52:53,8.72,167:41:05,86.61,00:32:44,0.28,06:20:38,3.28,02:09:42,1.12,00:02:27,00:04:37,00:01:39,00:03:40,00:00:15,00:00:35,00:00:34,00:00:56,00:20:27,00:45:21,0.9706,242,238,00:01:39,00:00:15,00:00:34,4,00:01:12,00:02:14,0,00:00:00,00:00:00,24,00:04:09,00:05:59,0,00:00:00,00:00:00,0,1,6,0,3,1
Buhle Mbeki,A1027,2027,April 2026,154,150,4,188:19:40,08:33:37,22:27:22,11.92,158:30:25,84.17,00:25:33,0.23,05:37:03,2.98,01:19:16,0.7,00:02:59,00:05:53,00:02:15,00:04:56,00:00:12,00:00:35,00:00:32,00:00:59,00:22:03,01:15:08,0.974,154,154,00:02:15,00:00:12,00:00:32,0,00:00:00,00:00:00,0,00:00:00,00:00:00,24,00:05:06,00:10:38,0,00:00:00,00:00:00,1,0,2,1,1,0
Buhle Gqola,A1028,2028,April 2026,224,218,6,192:24:44,08:21:57,13:01:16,6.77,169:27:06,88.07,00:26:19,0.23,06:30:41,3.38,02:59:23,1.55,00:02:55,00:05:52,00:01:48,00:03:13,00:00:18,00:00:59,00:00:49,00:01:23,00:17:29,00:46:12,0.9732,227,224,00:01:48,00:00:18,00:00:49,3,00:00:52,00:01:12,0,00:00:00,00:00:00,16,00:05:36,00:08:47,0,00:00:00,00:00:00,4,0,5,0,3,1
Susara Kruger,A1029,2029,April 2026,162,157,5,188:44:34,08:12:22,22:10:51,11.75,160:27:38,85.02,00:21:17,0.19,04:51:17,2.57,00:53:29,0.47,00:02:33,00:05:08,00:01:51,00:02:49,00:00:21,00:01:15,00:00:20,00:00:49,00:22:53,00:56:22,0.9691,165,162,00:01:51,00:00:21,00:00:20,3,00:01:08,00:01:29,0,00:00:00,00:00:00,9,00:03:52,00:08:55,0,00:00:00,00:00:00,3,1,3,0,1,0
Coenraad Pretorius,A1030,2030,April 2026,219,214,5,184:39:29,07:41:39,28:07:57,15.23,142:42:46,77.28,00:37:40,0.34,10:41:29,5.79,02:29:37,1.35,00:03:54,00:08:12,00:03:00,00:04:51,00:00:12,00:00:30,00:00:42,00:01:29,00:26:14,00:52:03,0.9772,222,219,00:03:00,00:00:12,00:00:42,3,00:02:12,00:04:04,0,00:00:00,00:00:00,10,00:03:00,00:06:57,0,00:00:00,00:00:00,0,1,2,0,3,0
Susara Kruger,A1031,2031,April 2026,245,236,9,192:29:36,08:22:09,16:29:51,8.57,165:17:58,85.87,00:18:34,0.16,06:44:08,3.5,03:39:05,1.9,00:02:52,00:06:20,00:01:43,00:02:50,00:00:13,00:00:39,00:00:56,00:02:01,00:22:02,01:14:50,0.9633,246,245,00:01:43,00:00:13,00:00:56,1,00:01:29,00:02:04,0,00:00:00,00:00:00,11,00:07:47,00:17:54,0,00:00:00,00:00:00,1,0,4,0,2,0
Susara Pretorius,A1032,2032,April 2026,169,163,6,185:24:31,08:25:40,17:55:08,9.66,154:05:48,83.11,00:11:24,0.1,10:26:13,5.63,02:45:58,1.49,00:04:59,00:10:06,00:03:51,00:07:47,00:00:07,00:00:22,00:01:01,00:02:05,00:24:09,01:08:53,0.9645,172,169,00:03:51,00:00:07,00:01:01,3,00:01:39,00:02:39,0,00:00:00,00:00:00,23,00:06:25,00:12:14,0,00:00:00,00:00:00,1,1,3,0,0,0
Hendrik Venter,A1033,2033,April 2026,214,207,7,183:24:14,08:20:12,13:30:15,7.36,155:12:51,84.63,00:33:57,0.31,11:28:52,6.26,02:38:20,1.44,00:04:14,00:07:08,00:03:20,00:06:57,00:00:09,00:00:30,00:00:46,00:01:37,00:17:56,00:47:38,0.9673,217,214,00:03:20,00:00:09,00:00:46,3,00:02:00,00:03:42,0,00:00:00,00:00:00,4,00:06:59,00:17:25,0,00:00:00,00:00:00,5,0,1,0,3,1
Johan Venter,A1034,2034,April 2026,275,262,13,193:31:06,08:24:50,13:54:52,7.19,160:17:49,82.83,00:33:16,0.29,14:16:21,7.38,04:28:48,2.32,00:04:32,00:10:02,00:03:16,00:05:34,00:00:15,00:00:39,00:01:02,00:02:16,00:13:04,00:33:39,0.9527,277,275,00:03:16,00:00:15,00:01:02,2,00:01:43,00:03:20,0,00:00:00,00:00:00,10,00:05:05,00:10:33,0,00:00:00,00:00:00,1,1,2,0,1,0
Anneke Kruger,A1035,2035,April 2026,265,255,10,192:51:00,08:23:05,25:54:12,13.43,155:39:15,80.71,00:42:58,0.37,07:36:25,3.94,02:58:09,1.54,00:02:35,00:04:26,00:01:47,00:03:27,00:00:06,00:00:19,00:00:42,00:01:22,00:24:35,01:07:28,0.9623,269,265,00:01:47,00:00:06,00:00:42,4,00:02:04,00:03:59,0,00:00:00,00:00:00,12,00:07:57,00:16:38,0,00:00:00,00:00:00,3,1,2,1,2,0
Laura Taylor,A1001,2001,May 2026,287,275,12,175:13:20,07:37:06,13:00:38,7.43,146:29:11,83.6,00:37:52,0.36,11:52:26,6.78,03:13:13,1.84,00:03:25,00:06:20,00:02:35,00:05:13,00:00:08,00:00:30,00:00:42,00:01:32,00:13:57,00:32:32,0.9582,287,287,00:02:35,00:00:08,00:00:42,0,00:00:00,00:00:00,0,00:00:00,00:00:00,5,00:02:25,00:04:10,0,00:00:00,00:00:00,5,1,3,1,0,0
Ryan Smith,A1002,2002,May 2026,338,325,13,186:25:17,08:06:19,17:02:02,9.14,153:24:32,82.29,00:37:39,0.34,09:40:45,5.19,05:40:20,3.04,00:02:57,00:05:47,00:01:47,00:03:00,00:00:07,00:00:23,00:01:03,00:02:18,00:22:05,01:03:10,0.9615,341,338,00:01:47,00:00:07,00:01:03,3,00:01:03,00:01:23,0,00:00:00,00:00:00,11,00:05:54,00:11:12,0,00:00:00,00:00:00,0,0,6,1,3,1
Emma Turner,A1003,2003,May 2026,274,268,6,178:42:44,07:46:12,21:21:39,11.95,139:40:14,78.15,00:28:30,0.27,12:53:43,7.22,04:18:38,2.41,00:04:09,00:10:31,00:02:53,00:06:01,00:00:17,00:00:43,00:00:58,00:02:25,00:29:52,01:20:44,0.9781,277,274,00:02:53,00:00:17,00:00:58,3,00:01:06,00:01:34,0,00:00:00,00:00:00,7,00:00:55,00:01:51,0,00:00:00,00:00:00,1,0,3,0,3,0
Emma Wilson,A1004,2004,May 2026,336,329,7,183:04:58,07:57:36,19:46:38,10.8,142:18:41,77.73,00:32:18,0.29,18:08:38,9.91,02:18:43,1.26,00:03:50,00:06:09,00:03:19,00:07:12,00:00:06,00:00:21,00:00:25,00:00:52,00:20:37,00:52:57,0.9792,337,336,00:03:19,00:00:06,00:00:25,1,00:02:40,00:03:57,0,00:00:00,00:00:00,24,00:01:07,00:01:58,0,00:00:00,00:00:00,5,1,5,0,2,1
Megan Smith,A1005,2005,May 2026,258,246,12,179:54:54,08:34:03,26:20:00,14.64,135:52:14,75.52,00:35:57,0.33,13:41:55,7.61,03:24:48,1.9,00:04:18,00:10:40,00:03:20,00:05:03,00:00:08,00:00:19,00:00:50,00:01:32,00:27:25,01:33:24,0.9535,263,258,00:03:20,00:00:08,00:00:50,5,00:02:30,00:03:35,0,00:00:00,00:00:00,16,00:03:11,00:05:18,0,00:00:00,00:00:00,6,1,3,0,0,1
Brian Taylor,A1006,2006,May 2026,414,403,11,181:59:51,07:54:47,21:28:08,11.8,128:30:37,70.61,00:43:35,0.4,24:27:57,13.44,06:49:34,3.75,00:04:49,00:12:07,00:03:39,00:05:53,00:00:10,00:00:20,00:01:01,00:01:44,00:20:57,00:49:58,0.9734,415,414,00:03:39,00:00:10,00:01:01,1,00:02:06,00:02:46,0,00:00:00,00:00:00,8,00:05:48,00:12:09,0,00:00:00,00:00:00,5,0,5,0,0,1
James Smith,A1007,2007,May 2026,315,300,15,185:51:07,08:04:50,24:09:12,13.0,146:06:57,78.62,00:33:56,0.3,10:14:42,5.51,04:46:21,2.57,00:03:09,00:08:00,00:02:03,00:03:15,00:00:09,00:00:21,00:00:57,00:01:38,00:33:55,01:49:57,0.9524,320,315,00:02:03,00:00:09,00:00:57,5,00:00:55,00:01:41,0,00:00:00,00:00:00,24,00:02:54,00:04:22,0,00:00:00,00:00:00,0,0,2,1,2,1
Bheki Ndlovu,A1008,2008,May 2026,319,309,10,179:43:28,07:48:51,26:35:16,14.79,139:09:12,77.43,00:25:32,0.24,10:37:23,5.91,02:56:05,1.63,00:02:46,00:05:49,00:02:04,00:04:30,00:00:08,00:00:26,00:00:34,00:00:56,00:31:29,01:20:02,0.9687,319,319,00:02:04,00:00:08,00:00:34,0,00:00:00,00:00:00,0,00:00:00,00:00:00,15,00:04:12,00:06:06,0,00:00:00,00:00:00,4,0,5,0,2,0
Thandiwe Zulu,A1009,2009,May 2026,342,330,12,177:12:27,08:26:18,17:43:40,10.0,138:24:02,78.1,00:36:39,0.34,16:14:00,9.16,04:14:05,2.39,00:04:03,00:08:28,00:02:57,00:06:19,00:00:20,00:00:46,00:00:46,00:01:37,00:21:35,01:09:22,0.9649,344,342,00:02:57,00:00:20,00:00:46,2,00:01:51,00:02:37,0,00:00:00,00:00:00,10,00:07:33,00:12:30,0,00:00:00,00:00:00,1,0,5,0,3,0
Thandiwe Mahlangu,A1010,2010,May 2026,258,250,8,176:35:51,07:40:41,13:36:26,7.71,152:59:06,86.63,00:40:54,0.39,07:47:08,4.41,01:32:17,0.87,00:02:27,00:03:59,00:01:52,00:03:07,00:00:13,00:00:32,00:00:22,00:00:55,00:15:33,00:38:00,0.969,263,258,00:01:52,00:00:13,00:00:22,5,00:01:12,00:01:57,0,00:00:00,00:00:00,21,00:05:05,00:10:59,0,00:00:00,00:00:00,4,0,2,1,1,1
Bheki Khumalo,A1011,2011,May 2026,302,289,13,175:52:52,08:22:31,21:22:19,12.15,141:23:05,80.39,00:30:01,0.28,08:36:28,4.89,04:01:00,2.28,00:02:48,00:05:26,00:01:47,00:03:36,00:00:11,00:00:38,00:00:50,00:01:45,00:26:56,01:23:02,0.957,306,302,00:01:47,00:00:11,00:00:50,4,00:01:03,00:01:28,0,00:00:00,00:00:00,11,00:06:01,00:12:25,0,00:00:00,00:00:00,2,0,1,1,1,1
Ntombi Khumalo,A1012,2012,May 2026,447,428,19,185:16:28,08:49:21,18:18:06,9.88,136:29:23,73.67,00:51:20,0.46,23:47:48,12.84,05:49:51,3.15,00:04:25,00:10:34,00:03:20,00:06:58,00:00:16,00:00:45,00:00:49,00:01:28,00:19:49,00:39:17,0.9575,448,447,00:03:20,00:00:16,00:00:49,1,00:02:27,00:03:59,0,00:00:00,00:00:00,4,00:03:42,00:08:23,0,00:00:00,00:00:00,5,0,4,1,3,0
Nomvula Mahlangu,A1013,2013,May 2026,397,382,15,180:22:02,07:50:31,19:01:23,10.55,137:27:34,76.21,00:43:02,0.4,18:48:59,10.43,04:21:05,2.41,00:03:51,00:08:26,00:02:57,00:05:58,00:00:13,00:00:48,00:00:41,00:01:33,00:20:29,01:07:27,0.9622,402,397,00:02:57,00:00:13,00:00:41,5,00:02:06,00:03:58,0,00:00:00,00:00:00,25,00:02:08,00:03:17,0,00:00:00,00:00:00,3,1,2,0,3,0
Sipho Mahlangu,A1014,2014,May 2026,334,320,14,181:52:09,07:54:26,19:25:10,10.68,147:45:30,81.24,00:25:26,0.23,10:46:53,5.93,03:29:10,1.92,00:02:57,00:07:14,00:02:01,00:03:52,00:00:16,00:00:53,00:00:39,00:01:37,00:19:10,00:45:12,0.9581,334,334,00:02:01,00:00:16,00:00:39,0,00:00:00,00:00:00,0,00:00:00,00:00:00,16,00:06:48,00:16:18,0,00:00:00,00:00:00,0,0,2,0,1,0
Refilwe Tau,A1015,2015,May 2026,257,251,6,175:11:10,07:37:00,20:19:01,11.6,138:01:39,78.79,00:34:42,0.33,11:42:04,6.68,04:33:42,2.6,00:04:05,00:09:46,00:02:48,00:05:01,00:00:12,00:00:31,00:01:05,00:02:33,00:23:38,01:22:18,0.9767,258,257,00:02:48,00:00:12,00:01:05,1,00:01:30,00:02:45,0,00:00:00,00:00:00,7,00:06:04,00:12:34,0,00:00:00,00:00:00,5,0,2,1,3,1
Thabo Molefe,A1016,2016,May 2026,253,247,6,180:16:28,08:35:04,21:23:16,11.86,143:27:25,79.58,00:33:49,0.31,10:23:33,5.76,04:28:24,2.48,00:03:50,00:07:00,00:02:31,00:05:17,00:00:14,00:00:53,00:01:05,00:02:19,00:27:32,01:27:06,0.9763,256,253,00:02:31,00:00:14,00:01:05,3,00:01:38,00:02:19,0,00:00:00,00:00:00,6,00:06:38,00:13:55,0,00:00:00,00:00:00,3,0,6,0,2,1
Thabo Mofokeng,A1017,2017,May 2026,257,250,7,176:06:57,08:23:11,17:50:14,10.13,143:50:55,81.68,00:25:46,0.24,10:55:03,6.2,03:04:59,1.75,00:03:37,00:06:45,00:02:37,00:04:43,00:00:15,00:00:38,00:00:44,00:01:30,00:23:19,00:42:04,0.9728,262,257,00:02:37,00:00:15,00:00:44,5,00:02:17,00:03:32,0,00:00:00,00:00:00,24,00:03:00,00:05:47,0,00:00:00,00:00:00,3,0,5,1,1,1
